term	valence	arousal	dominance
do homework	0.034	-0.062	0.100
do in	-0.096	-0.016	0.068
do it	0.000	0.030	0.112
do justice	0.068	0.138	0.380
do me	-0.290	0.062	-0.308
do one	0.034	-0.176	-0.344
do out	-0.380	-0.064	-0.310
do over	-0.290	-0.122	-0.034
do research	0.322	0.166	0.166
do so	-0.134	-0.220	-0.108
do time	-0.124	-0.016	0.068
do to	-0.162	-0.090	0.200
do up	-0.200	0.068	0.000
do well	0.710	-0.046	0.178
do what	-0.200	-0.050	-0.194
do with	-0.072	-0.120	-0.334
do without	-0.376	-0.202	-0.380
do wonders	0.612	0.172	-0.034
do work	0.066	0.194	-0.048
do wrong	-0.580	0.044	-0.414
doc martens	-0.218	0.170	0.066
dog days	-0.112	-0.108	-0.214
dog fight	-0.500	0.492	-0.104
dog food	-0.242	-0.214	-0.290
dog house	-0.100	-0.154	-0.242
dog it	-0.400	-0.168	-0.066
dog on	-0.194	0.016	-0.120
dog poop	-0.778	-0.046	-0.192
dog show	-0.034	0.000	0.426
dollar bill	0.234	0.000	0.034
dollar sign	0.104	-0.240	0.048
dollar store	0.036	-0.250	0.236
dolled up	0.222	0.000	-0.360
domain name	-0.034	-0.148	0.162
domestic violence	-0.698	0.390	-0.076
domino effect	-0.250	0.300	0.038
don quixote	-0.286	-0.056	0.206
don't forget	-0.286	-0.124	-0.428
don't know	-0.586	-0.124	-0.634
don't worry	-0.034	-0.272	-0.282
done deal	0.188	-0.162	0.310
done for	-0.166	-0.110	-0.068
done good	0.646	-0.224	0.076
done in	-0.074	-0.226	0.104
done up	0.310	-0.326	0.172
done with	-0.084	-0.242	0.108
door bell	-0.022	-0.184	-0.034
door handle	-0.116	-0.062	-0.270
door knob	0.020	-0.234	-0.148
dorm room	-0.108	-0.274	-0.234
dotted line	0.034	-0.324	-0.112
double agent	-0.064	0.182	0.186
double as	0.072	-0.014	-0.134
double back	-0.322	0.068	-0.064
double bill	-0.066	0.014	0.200
double blind	-0.344	0.028	-0.194
double check	-0.214	0.258	0.034
double chin	-0.166	-0.264	-0.266
double date	-0.072	0.196	0.100
double decker	0.200	0.334	0.162
double digit	0.000	0.134	0.034
double digits	-0.034	-0.050	0.250
double dip	-0.066	0.122	-0.154
double dipping	-0.380	0.254	-0.068
double down	-0.108	0.114	0.222
double dutch	-0.260	0.216	-0.074
double entendre	-0.242	0.042	-0.024
double feature	0.376	0.060	0.400
double figures	0.206	0.108	0.178
double for	-0.094	0.182	0.218
double header	-0.064	0.152	0.104
double jeopardy	-0.312	0.206	0.032
double life	-0.276	0.254	0.414
double negative	-0.724	0.152	-0.266
double play	0.068	0.258	0.206
double standard	0.020	0.064	0.178
double take	-0.166	0.014	0.178
double tap	-0.286	0.030	-0.032
double time	0.308	0.080	0.172
double trouble	-0.380	0.300	-0.188
double up	0.100	0.190	0.076
double whammy	-0.300	0.454	0.034
double-edged sword	-0.222	0.410	0.534
douche bag	-0.482	0.156	-0.176
down fall	-0.608	-0.156	-0.420
down pat	0.140	-0.220	-0.096
down payment	-0.258	-0.174	-0.068
down side	-0.516	-0.312	-0.354
down syndrome	-0.608	-0.016	-0.500
down time	-0.344	-0.590	-0.282
down town	-0.300	-0.052	-0.276
down under	-0.434	-0.242	-0.142
down with	-0.250	-0.268	-0.234
doze off	-0.484	-0.250	-0.532
draft board	0.036	0.014	-0.194
draft in	-0.300	-0.194	-0.334
drag on	-0.516	-0.064	-0.094
drag out	-0.448	0.102	-0.334
drag queen	-0.068	0.032	0.154
drag race	-0.166	0.370	-0.138
drag racing	0.034	0.224	0.130
drama queen	0.036	0.164	-0.200
drama series	-0.104	0.294	0.300
draw attention	-0.066	0.140	-0.188
draw from	-0.234	-0.080	-0.138
draw in	0.142	0.104	-0.034
draw on	-0.188	-0.030	-0.250
draw out	-0.438	-0.246	-0.388
draw up	0.034	-0.142	0.034
drawing board	0.266	0.034	0.034
drawing tablet	0.014	0.082	0.296
drawn out	-0.256	-0.180	-0.156
dream of	0.096	-0.250	0.034
dream on	0.586	-0.034	0.032
dream team	0.688	0.112	0.534
dream up	0.646	0.016	0.034
dream world	0.226	-0.244	0.260
drenched in	-0.138	-0.030	0.162
dress code	-0.066	-0.082	0.096
dress rehearsal	-0.066	0.062	0.000
dress shirt	0.138	-0.206	0.162
dress up	0.434	-0.086	0.034
dressed up	0.286	0.032	0.134
dressing room	0.300	0.102	0.138
dressing up	0.276	0.048	0.270
dried up	-0.452	-0.018	-0.634
drift away	-0.400	-0.096	-0.400
drift off	-0.334	-0.118	-0.104
drink in	-0.034	-0.136	-0.062
drink to	0.066	-0.014	-0.036
drink up	0.250	0.060	-0.032
drinking age	-0.242	0.080	-0.112
drinking problem	-0.666	0.334	-0.558
drinking water	0.380	-0.078	0.166
drive around	0.074	0.272	0.130
drive at	-0.310	0.058	0.036
drive away	-0.068	0.048	-0.112
drive back	-0.134	-0.070	0.034
drive by	0.068	0.246	-0.066
drive down	-0.420	0.206	-0.124
drive home	-0.148	0.134	0.066
drive in	0.166	0.210	0.066
drive off	-0.468	0.016	-0.108
drive on	0.242	-0.034	0.166
drive out	-0.122	0.082	-0.100
drive through	-0.068	0.138	0.064
drive up	-0.066	0.154	0.096
drive you	0.200	0.196	0.068
driver license	0.094	0.048	0.354
driver's license	0.258	0.254	0.518
driver's seat	0.104	0.156	0.310
driving at	0.000	0.220	0.072
driving force	-0.072	0.534	0.036
driving license	0.344	-0.016	0.334
driving range	0.142	0.156	0.066
driving school	0.344	0.226	0.000
driving test	0.100	0.218	0.072
drop back	-0.366	0.032	-0.554
drop box	-0.392	-0.258	-0.270
drop by	-0.226	-0.032	-0.226
drop dead	-0.806	-0.016	-0.444
drop in	-0.132	-0.132	-0.200
drop into	-0.214	-0.134	-0.072
drop it	-0.484	-0.068	-0.534
drop kick	-0.536	0.164	-0.426
drop off	-0.518	-0.270	-0.358
drop out	-0.452	0.000	-0.322
drop pass	-0.434	0.044	-0.194
drown in	-0.612	0.062	-0.260
drown out	-0.258	-0.084	-0.572
drug abuse	-0.774	0.276	-0.444
drug addict	-0.800	0.370	-0.480
drug addiction	-0.922	0.092	-0.484
drug dealer	-0.700	0.138	-0.308
drug dealing	-0.922	0.512	-0.190
drug store	-0.484	0.176	-0.482
drug testing	-0.366	0.124	0.034
drug war	-0.852	0.238	-0.036
drum kit	0.096	0.096	-0.206
drum set	0.186	-0.044	0.000
drum up	-0.104	0.152	0.138
drunk driver	-0.342	0.338	-0.084
drunk driving	-0.802	0.800	-0.556
dry cleaners	-0.096	-0.150	-0.276
dry cleaning	-0.380	-0.220	-0.290
dry ice	-0.222	-0.172	-0.250
dry out	-0.534	-0.388	-0.404
dry powder	-0.260	-0.196	-0.096
dry skin	-0.518	-0.360	-0.192
dry up	-0.344	-0.198	-0.388
drying up	-0.600	-0.158	-0.396
du jour	-0.112	-0.048	-0.116
dub in	-0.258	0.024	-0.172
duck in	-0.172	-0.184	-0.096
duct tape	-0.296	0.032	-0.366
due date	-0.194	-0.242	-0.206
due diligence	-0.194	0.050	0.242
due process	-0.206	-0.050	0.178
due respect	0.322	-0.088	-0.096
due to	-0.242	-0.126	-0.516
duffel bag	0.218	-0.010	-0.162
dum dum	-0.434	0.058	-0.620
dumb down	-0.452	-0.076	-0.388
dumb luck	-0.380	-0.110	-0.354
dumbing down	-0.500	0.016	-0.210
dump on	-0.678	-0.090	-0.142
dump truck	-0.072	0.016	-0.186
dust off	-0.242	-0.396	-0.552
dutch oven	-0.160	-0.180	-0.130
duvet cover	-0.166	-0.334	-0.166
dwell on	-0.286	0.032	-0.194
each one	-0.194	-0.322	-0.096
each other	-0.318	-0.194	0.000
each way	0.200	-0.124	-0.094
each week	0.162	-0.170	-0.034
each year	0.428	-0.190	-0.030
ear plugs	-0.100	-0.338	-0.032
earl grey	0.112	-0.052	-0.408
early adopter	0.420	0.160	0.234
early bird	0.428	0.088	0.000
early childhood	0.312	0.122	0.194
early days	-0.094	-0.308	0.072
early on	0.142	0.000	0.166
early retirement	0.194	-0.322	-0.072
early spring	0.400	0.000	-0.214
early warning	-0.066	0.224	0.308
earn money	0.620	0.146	0.310
earnings report	-0.032	0.052	0.482
earth shattering	-0.206	0.284	0.276
ease into	0.200	-0.212	-0.032
ease up	0.134	-0.192	-0.166
east asia	-0.218	0.032	0.138
east coast	0.194	0.060	-0.064
east side	0.156	0.054	-0.034
easter bunny	0.482	0.200	0.000
easter egg	0.266	-0.104	-0.200
easter eggs	0.286	-0.150	0.072
easter sunday	0.366	-0.060	0.250
eastern conference	0.266	0.112	0.354
eastern time	0.268	-0.226	0.134
easy going	0.766	-0.306	0.160
easy money	0.536	-0.106	0.068
eat at	-0.034	-0.130	0.104
eat crow	-0.408	0.068	-0.414
eat in	-0.032	-0.162	0.034
eat off	-0.250	-0.120	-0.414
eat on	0.142	0.000	-0.034
eat out	0.166	-0.080	-0.206
eat that	0.166	-0.060	0.038
eat up	0.142	-0.086	-0.038
eaten up	-0.130	-0.014	-0.064
eating disorder	-0.934	0.026	-0.344
eating you	-0.036	0.032	-0.194
echo chamber	-0.166	-0.046	0.066
eco friendly	0.482	-0.318	0.420
economic crisis	-0.250	0.334	-0.138
economic growth	0.734	0.394	0.434
edge in	-0.104	0.190	-0.034
edge off	-0.466	0.046	0.034
edit out	-0.466	-0.066	-0.482
educated guess	0.310	0.112	0.428
educational system	0.322	0.136	0.068
eff off	-0.700	0.166	-0.276
egg nog	-0.130	-0.394	-0.218
egg on	0.000	-0.032	-0.162
egg roll	0.066	-0.228	-0.100
egg salad	0.234	-0.170	-0.068
eggs benedict	0.134	-0.086	0.156
either way	-0.124	-0.206	-0.234
elder abuse	-0.692	0.102	-0.346
elder care	-0.100	-0.286	-0.200
elect to	-0.038	-0.042	-0.036
elected official	0.000	0.192	0.538
election campaign	-0.266	0.288	0.634
election day	0.194	0.174	0.320
election fraud	-0.666	0.322	-0.418
electoral college	0.036	0.226	0.242
electric bill	-0.354	-0.034	0.138
electric car	0.138	0.138	0.162
electric chair	-0.500	0.390	0.068
electric company	0.000	0.272	0.214
electric guitar	0.258	0.278	0.172
electric slide	0.084	0.320	0.072
electric toothbrush	0.428	0.156	0.160
electrical engineer	0.276	0.196	0.424
electrical grid	0.000	0.314	0.334
elementary school	0.366	0.096	-0.026
elevator music	0.322	-0.260	0.040
email address	0.218	-0.016	0.172
embark on	0.280	0.238	0.326
emergency brake	-0.266	0.242	-0.066
emergency department	-0.244	0.526	0.536
emergency fund	0.366	0.170	0.408
emergency medicine	0.072	0.442	0.310
emergency response	-0.094	0.704	0.380
emergency room	-0.500	0.640	-0.034
emergency services	-0.034	0.500	0.250
eminent domain	-0.206	0.250	0.400
emotional intelligence	0.482	0.412	0.322
emotional person	-0.334	0.184	-0.334
emotional state	-0.366	0.096	0.096
empty words	-0.866	-0.306	-0.264
en masse	0.108	0.016	-0.122
en route	0.104	0.132	0.068
end game	-0.286	0.084	-0.400
end in	-0.334	-0.288	-0.380
end of	-0.230	-0.410	-0.214
end on	-0.518	-0.158	-0.250
end point	-0.440	-0.124	-0.310
end product	-0.300	-0.014	-0.212
end result	-0.282	-0.140	0.206
end table	0.082	-0.040	-0.036
end up	-0.434	-0.082	-0.620
end user	-0.322	-0.206	-0.250
end with	-0.400	-0.220	-0.200
end zone	-0.036	-0.096	0.000
endangered species	-0.666	-0.022	-0.200
energy consumption	-0.068	0.388	0.448
energy crisis	-0.344	0.212	0.000
energy efficient	0.538	0.152	0.414
energy level	0.758	0.436	0.366
engage in	0.104	0.214	0.286
engage with	0.000	-0.064	0.112
engagement ring	0.844	-0.166	0.226
english language	0.300	0.000	0.038
english teacher	0.388	0.076	0.130
enough said	-0.206	-0.156	0.154
enter for	-0.108	-0.206	0.290
enter into	-0.034	-0.032	0.048
entertainment industry	0.556	0.470	0.438
entitled to	-0.100	-0.116	0.068
entry level	0.066	-0.042	0.138
environmentally friendly	0.594	0.048	0.586
epsom salt	-0.242	-0.414	-0.166
equal opportunity	0.586	0.106	0.500
equal pay	0.444	-0.062	0.134
equal to	0.000	-0.234	0.190
equate to	0.138	-0.100	0.138
erectile dysfunction	-0.666	0.136	-0.334
error code	-0.500	-0.078	-0.452
error message	-0.700	0.062	-0.500
escape from	-0.226	0.086	-0.188
espresso machine	0.072	0.214	0.000
essay writing	0.034	-0.102	-0.068
essential oil	0.166	-0.188	0.066
essential services	0.138	0.124	0.608
estate agent	0.066	-0.060	0.032
estate market	0.160	0.170	0.206
estate tax	-0.322	0.014	-0.100
eternal life	0.428	0.000	0.310
eternally grateful	0.466	0.016	0.274
ethnic cleansing	-0.032	0.062	0.096
ethnic group	0.214	0.218	0.038
even as	-0.104	-0.250	-0.200
even if	-0.134	-0.032	-0.392
even money	0.104	-0.032	0.226
even more	0.448	-0.016	0.066
even now	-0.156	-0.238	-0.094
even number	-0.076	-0.112	0.108
even out	0.066	-0.132	-0.448
even so	0.066	-0.370	-0.186
even then	-0.096	-0.250	-0.138
even tho	-0.206	-0.228	-0.566
even though	-0.138	-0.112	-0.270
even up	0.400	-0.206	0.000
even when	-0.130	-0.152	-0.290
ever after	0.234	-0.180	-0.104
ever again	-0.036	-0.052	0.000
ever more	0.392	-0.018	0.138
ever since	0.032	-0.082	0.074
ever so	0.100	-0.254	-0.258
every bit	0.034	-0.052	0.066
every inch	0.032	-0.130	0.178
every last	-0.250	-0.014	0.000
every night	0.130	-0.184	-0.066
every one	0.434	-0.212	0.134
every other	0.000	0.016	-0.032
every second	-0.138	-0.016	0.074
every thing	0.258	0.050	0.000
every time	0.468	-0.172	0.130
every week	0.250	0.028	0.074
every year	0.112	-0.110	0.068
everybody out	-0.376	-0.014	-0.036
evil eye	-0.672	0.136	-0.428
evil twin	-0.482	0.234	0.178
ex husband	-0.634	-0.100	-0.172
ex wife	-0.624	-0.104	-0.296
excel at	0.448	0.066	0.250
except for	-0.242	-0.016	-0.066
except that	-0.188	-0.314	-0.240
exchange rate	-0.442	-0.014	0.066
exclamation mark	0.226	0.320	0.130
exclamation point	0.124	0.422	0.518
excuse for	-0.482	-0.084	-0.100
excuse me	-0.258	-0.086	-0.286
executive branch	-0.072	0.206	0.704
executive director	0.482	0.186	0.214
executive order	0.260	0.048	0.656
executive privilege	0.100	0.294	0.226
exercise bike	0.322	0.196	0.108
exhibition game	0.076	0.580	0.334
exit ramp	-0.258	-0.046	-0.420
exit strategy	-0.572	0.222	-0.124
expand on	0.392	0.062	0.172
expansion pack	-0.142	0.258	0.266
expiration date	-0.322	-0.064	-0.354
expiry date	-0.678	-0.010	-0.566
explain away	-0.046	-0.174	-0.186
extend to	-0.066	0.102	-0.068
extended family	0.534	-0.030	0.444
extension cord	-0.160	0.032	0.270
extra curricular	0.516	0.162	0.394
extra innings	0.134	0.180	0.334
extra large	0.194	0.150	0.666
extra point	0.166	-0.046	0.552
extra time	0.200	-0.060	-0.064
extreme anticipation	0.102	0.480	0.408
extreme disgust	-0.896	0.746	-0.088
extreme sport	0.310	0.338	0.414
extreme surprise	0.666	0.870	0.352
extreme trust	0.652	0.426	0.844
extremely negative	-0.940	0.572	-0.378
extremely positive	0.986	0.460	0.678
eye candy	0.408	0.034	0.064
eye contact	-0.062	0.076	0.322
eye doctor	0.322	-0.204	0.242
eye drops	0.100	-0.220	-0.166
eye level	0.162	-0.254	0.166
eye opener	0.038	0.308	-0.154
eye patch	-0.358	0.000	-0.022
eye shadow	0.314	-0.102	0.222
eye surgery	-0.354	0.266	0.102
fabric softener	0.280	-0.032	-0.178
face about	-0.094	-0.140	-0.032
face card	0.096	0.064	0.130
face down	-0.358	-0.238	-0.388
face mask	0.000	-0.050	-0.130
face off	-0.234	-0.096	-0.058
face paint	0.250	-0.058	0.108
face shield	-0.104	0.148	0.130
face time	0.366	-0.076	0.034
face up	0.000	-0.120	0.162
face value	0.300	0.036	0.334
face wash	0.322	-0.178	0.000
facebook page	0.100	0.092	0.000
faced with	-0.038	-0.166	0.000
facial expression	0.138	-0.090	0.420
facial hair	-0.096	-0.180	-0.166
facial recognition	-0.170	0.136	0.308
fact is	0.118	-0.184	0.250
factor in	-0.034	-0.016	0.036
factor into	-0.062	-0.018	-0.166
faculty member	0.194	0.044	0.142
fade away	-0.290	0.000	-0.360
fade in	-0.266	-0.136	-0.392
fade out	-0.518	-0.104	-0.718
fail to	-0.710	-0.154	-0.612
failed state	-0.718	-0.192	-0.516
fair amount	0.466	-0.238	0.190
fair chance	0.344	-0.250	-0.036
fair deal	0.322	-0.262	0.072
fair enough	0.214	-0.380	0.358
fair game	0.428	-0.086	0.188
fair market	0.032	0.000	0.178
fair number	0.100	-0.066	0.032
fair play	0.290	0.000	-0.034
fair question	0.290	-0.028	0.296
fair shake	0.300	-0.068	0.000
fair share	0.118	-0.140	-0.068
fair trade	0.400	-0.166	0.068
fair trial	0.440	-0.164	0.034
fair use	0.344	-0.264	0.166
fair weather	0.066	-0.200	0.064
fairy godmother	0.758	-0.156	0.096
fairy tale	0.428	-0.098	-0.100
faith in	0.642	0.014	-0.098
fake it	-0.452	0.098	-0.408
fake news	-0.380	-0.036	-0.352
fake out	-0.608	0.014	-0.656
fall apart	-0.548	0.160	-0.206
fall asleep	-0.242	-0.492	-0.344
fall away	-0.600	-0.094	-0.408
fall back	-0.266	-0.314	-0.194
fall behind	-0.718	-0.200	-0.366
fall down	-0.646	-0.106	-0.800
fall flat	-0.334	-0.138	-0.612
fall for	-0.194	0.030	-0.354
fall guy	-0.334	0.016	-0.420
fall in	-0.172	-0.098	-0.214
fall into	-0.366	-0.034	-0.154
fall off	-0.734	-0.164	-0.630
fall on	-0.072	-0.156	-0.366
fall out	-0.666	-0.138	-0.366
fall over	-0.600	-0.166	-0.534
fall short	-0.208	-0.166	-0.068
fall through	-0.388	0.000	-0.116
fall to	-0.534	-0.100	-0.334
fall under	-0.322	-0.164	-0.388
fall victim	-0.548	0.146	-0.466
falling down	-0.572	0.076	-0.572
falling off	-0.656	-0.080	-0.400
falling out	-0.764	-0.016	-0.354
false alarm	-0.482	0.094	-0.482
false claims	-0.646	0.070	-0.344
false hope	-0.750	-0.220	-0.678
false information	-0.700	-0.130	-0.666
false negative	-0.678	-0.100	-0.600
false positive	-0.620	0.244	-0.466
false positives	-0.800	0.080	-0.344
false sense	-0.566	-0.262	-0.630
false start	-0.690	0.000	-0.162
false starts	-0.700	-0.156	-0.710
false statements	-0.814	-0.030	-0.100
false witness	-0.724	-0.016	-0.310
familiar with	0.358	0.102	0.300
family business	0.586	-0.046	0.370
family court	-0.138	0.032	0.452
family doctor	0.292	0.032	0.500
family emergency	-0.266	0.436	0.100
family friend	0.724	-0.156	0.130
family fun	0.828	0.106	0.088
family history	0.414	0.000	0.162
family home	0.646	-0.172	0.266
family law	0.134	-0.048	0.210
family leave	0.034	-0.162	-0.138
family man	0.572	-0.292	0.206
family medicine	0.322	0.044	0.234
family member	0.388	-0.176	0.108
family name	0.322	-0.246	0.034
family owned	0.452	-0.032	0.428
family planning	0.116	-0.100	0.270
family reunion	0.750	0.194	0.276
family room	0.310	-0.218	0.040
family size	0.300	-0.062	-0.040
family tree	0.552	-0.084	0.344
family values	0.666	-0.016	0.630
famous person	0.482	-0.032	0.656
fan base	0.260	0.140	0.310
fan club	0.438	-0.112	0.074
fan fiction	0.000	-0.120	-0.242
fan out	-0.214	0.024	-0.380
fanny pack	0.108	0.052	0.000
fantasy baseball	0.500	0.220	0.380
fantasy football	0.100	0.178	0.194
fantasy novel	0.620	0.112	0.034
fantasy world	0.354	0.234	0.290
far cry	-0.516	0.000	-0.200
far east	-0.052	-0.078	-0.094
far fetched	-0.366	0.032	-0.134
far from	-0.226	-0.118	-0.104
far gone	-0.138	0.052	-0.300
far left	-0.392	-0.080	-0.444
far north	-0.096	-0.084	-0.142
far off	-0.222	-0.158	-0.500
far out	-0.290	-0.052	-0.366
far right	-0.234	0.048	0.154
far side	0.032	-0.102	-0.100
far south	0.000	-0.138	-0.138
far west	0.064	-0.052	-0.146
farm boy	0.000	-0.112	-0.188
farm team	0.034	-0.016	0.040
fashion designer	0.500	0.224	0.562
fashion industry	0.250	0.170	0.266
fashion show	0.400	0.186	0.428
fashion statement	0.500	0.148	0.206
fast asleep	-0.096	-0.532	-0.608
fast break	0.194	0.334	-0.034
fast car	0.034	0.272	0.266
fast food	-0.200	0.048	0.100
fast forward	0.276	0.428	0.206
fast forwarding	0.156	0.460	0.392
fast lane	0.064	0.318	0.258
fast one	0.138	0.246	-0.076
fast pace	0.154	0.338	0.138
fast track	0.334	0.398	0.282
fat boy	-0.608	-0.032	-0.380
fat cat	-0.366	-0.224	0.034
fat cats	-0.424	-0.210	0.000
fat chance	-0.132	-0.142	-0.358
fat guy	-0.358	-0.016	-0.300
fat lady	-0.434	-0.210	-0.358
fat man	-0.572	-0.238	-0.344
fat person	-0.406	-0.250	-0.160
father figure	0.334	-0.214	0.308
father time	0.226	-0.172	0.066
father's day	0.710	-0.106	0.484
faux pas	-0.484	0.022	-0.230
favor with	0.296	0.058	0.154
fawn over	0.104	-0.296	-0.178
fax machine	-0.130	-0.142	-0.068
faze me	-0.300	0.016	-0.034
fear for	-0.534	0.058	-0.242
fear mongering	-0.634	0.258	-0.276
feast on	0.276	0.032	0.186
feature film	0.414	-0.126	0.310
feature in	0.200	0.016	-0.036
fecal matter	-0.242	0.072	-0.076
fed up	-0.500	0.096	-0.346
federal court	-0.218	0.092	0.500
federal government	-0.300	-0.084	0.500
federal holiday	0.308	0.182	0.344
federal party	0.134	0.172	0.290
federal reserve	0.166	0.270	0.536
federal tax	-0.400	-0.094	0.074
feed back	0.242	-0.150	-0.138
feed in	-0.166	-0.134	-0.234
feed into	0.096	0.014	-0.334
feed off	-0.560	0.062	-0.354
feed on	-0.032	-0.030	-0.068
feedback loop	0.052	0.146	0.066
feel about	-0.064	-0.324	0.104
feel bad	-0.966	-0.174	-0.536
feel compelled	-0.276	0.212	0.194
feel for	0.100	-0.286	-0.162
feel free	0.700	-0.218	0.000
feel good	0.812	-0.194	0.114
feel like	0.200	-0.220	0.038
feel myself	0.194	-0.064	0.266
feel out	-0.270	-0.182	-0.534
feel sorry	-0.444	-0.266	-0.322
feel up	-0.134	0.164	-0.026
feeling good	0.838	-0.282	0.600
fellow man	0.104	-0.126	-0.172
felt like	-0.066	-0.152	-0.438
female body	-0.166	0.018	-0.244
fence in	-0.264	-0.176	-0.034
fend for	-0.500	-0.076	-0.286
fend off	-0.074	-0.014	-0.108
feng shui	0.108	-0.096	0.130
ferris wheel	0.448	0.098	0.034
fess up	-0.120	0.016	-0.216
feta cheese	-0.108	-0.280	-0.310
fetal position	-0.166	0.108	-0.276
fiat money	-0.200	-0.184	-0.038
fictional character	0.040	-0.046	-0.128
fiddle with	-0.100	0.032	-0.154
field day	0.162	-0.044	0.034
field goal	0.566	0.294	0.234
field hockey	0.191	0.437	0.089
field trip	0.534	0.132	-0.032
field work	0.300	0.212	0.316
fight back	-0.032	0.476	0.000
fight for	-0.094	0.386	0.074
fight off	-0.814	0.288	-0.266
fight on	-0.194	0.406	0.066
fight over	-0.536	0.334	0.166
fight with	-0.600	0.384	0.242
fighter jet	-0.100	0.434	0.608
fighting chance	-0.036	0.468	0.068
fighting spirit	0.142	0.418	0.290
fighting words	-0.534	0.556	0.366
figure in	0.104	-0.188	-0.244
figure out	-0.036	0.030	-0.096
figure skating	0.322	0.186	0.074
file for	0.068	-0.044	-0.104
file in	-0.068	0.172	-0.096
file size	-0.206	-0.310	0.000
file with	0.068	-0.150	-0.034
filet mignon	-0.068	-0.106	0.112
fill in	0.214	-0.218	0.166
fill out	-0.518	0.016	-0.276
fill up	0.124	-0.014	0.172
fill with	0.100	-0.138	0.068
film adaptation	-0.096	0.118	0.096
film festival	0.634	0.126	0.384
film industry	0.134	0.242	0.148
film noir	-0.068	0.078	-0.258
filter in	-0.100	-0.050	-0.104
filter out	-0.400	-0.068	-0.192
filthy rich	-0.186	-0.134	0.234
final cut	-0.074	0.000	0.062
final decision	0.344	-0.056	0.392
final destination	-0.068	0.350	0.444
final exam	0.062	0.312	0.200
final result	-0.066	0.206	0.130
final whistle	0.032	-0.120	0.136
finance minister	0.162	0.090	0.250
financial advisor	0.222	0.056	0.500
financial aid	-0.064	0.218	-0.096
financial analyst	0.048	0.102	0.392
financial assistance	0.276	0.254	0.392
financial gain	0.556	0.216	0.482
financial situation	-0.200	0.044	0.214
financial support	0.480	0.152	0.540
find fault	-0.592	0.032	-0.214
find for	-0.050	0.000	0.026
find out	0.068	-0.166	-0.188
find solace	0.388	-0.314	-0.256
find work	-0.066	0.090	0.080
find yourself	0.310	-0.126	0.130
fine art	0.482	-0.246	0.244
fine arts	0.586	-0.306	0.162
fine dining	0.278	-0.180	-0.124
fine example	0.774	0.036	0.112
fine job	0.758	-0.422	0.034
fine line	0.134	-0.114	0.032
fine print	-0.064	-0.188	-0.242
fine tuning	0.334	-0.050	0.284
fine wine	0.406	-0.122	0.000
finger pointing	-0.188	0.140	0.276
fingers crossed	0.108	0.134	-0.238
finish line	0.334	0.064	0.354
finish off	-0.358	-0.098	-0.276
finish up	-0.038	-0.074	0.222
finish with	0.032	-0.126	0.064
fire alarm	-0.200	0.366	-0.024
fire away	0.068	0.462	0.200
fire back	-0.482	0.226	-0.116
fire department	-0.036	0.550	0.714
fire drill	-0.438	0.316	-0.258
fire escape	-0.124	0.376	-0.032
fire extinguisher	-0.032	0.400	0.104
fire fighter	-0.034	0.338	0.206
fire hydrant	-0.334	0.136	0.036
fire off	-0.192	0.098	-0.484
fire pit	-0.142	-0.016	0.214
fire power	-0.042	0.460	0.300
fire sale	-0.142	0.254	0.138
fire service	0.000	0.270	0.276
fire station	-0.036	0.402	0.074
fire truck	-0.162	0.238	0.290
fire up	-0.366	0.322	0.406
fired up	-0.066	0.328	0.112
fireside chat	-0.370	0.062	0.000
firing off	-0.414	0.306	-0.250
firing range	-0.260	0.230	0.276
firing squad	-0.322	0.516	0.200
first aid	-0.178	-0.124	-0.032
first amendment	0.108	0.164	0.420
first appearance	0.600	0.304	0.406
first base	0.242	-0.014	0.148
first baseman	0.548	0.178	0.086
first born	0.466	0.016	0.234
first class	0.838	0.180	0.500
first degree	0.276	0.136	0.366
first dibs	0.100	0.034	0.104
first down	-0.218	0.016	-0.100
first edition	0.104	0.100	0.318
first ever	0.452	0.000	0.266
first family	0.428	0.032	0.072
first floor	0.064	-0.176	0.064
first generation	0.666	0.032	0.434
first half	-0.124	-0.194	-0.124
first hand	0.142	-0.114	0.096
first lady	0.470	0.042	0.000
first language	0.400	-0.104	0.064
first love	0.750	0.158	-0.102
first name	0.380	-0.386	0.064
first nation	0.260	0.034	0.468
first night	0.134	-0.074	0.000
first off	-0.112	-0.234	0.034
first period	0.242	0.054	0.162
first person	0.096	-0.278	0.234
first principles	0.366	0.014	0.500
first quarter	0.260	0.020	0.344
first rate	0.656	0.066	0.552
first reading	0.258	-0.086	0.066
first responder	0.286	0.220	0.380
first run	0.266	0.114	0.242
first state	0.206	0.086	0.000
first step	0.414	0.100	0.276
first strike	-0.142	0.142	0.500
first thing	0.290	-0.218	0.344
first time	0.320	0.046	0.068
first trimester	-0.032	0.016	0.094
first up	0.226	-0.234	-0.036
first world	0.358	-0.028	0.232
fiscal policy	0.046	0.046	0.366
fiscal year	0.034	-0.142	0.166
fish bowl	0.310	-0.276	0.094
fish for	0.066	0.064	-0.462
fish fry	0.098	-0.206	-0.296
fish oil	-0.200	-0.290	-0.094
fish out	-0.142	-0.124	-0.266
fish sticks	-0.166	-0.134	0.066
fish tank	0.068	-0.076	0.000
fishing boat	0.042	-0.194	0.254
fist bump	0.034	0.058	-0.034
fist fight	-0.500	0.484	0.100
fist pump	0.392	0.312	0.214
fit in	0.100	-0.116	0.000
