term	dominance
golden calf	0.206
fly around	0.206
more like	0.206
save time	0.206
atlantic canada	0.206
weight lifting	0.206
don quixote	0.206
healthy dose	0.206
gym clothes	0.206
king crab	0.206
criminal law	0.206
pro shop	0.206
broad daylight	0.206
piece together	0.206
well run	0.206
set free	0.206
public speaking	0.206
open season	0.206
fresh air	0.206
hopped up	0.204
country music	0.204
move it	0.204
great grandpa	0.204
go for	0.200
win back	0.200
tax base	0.200
sales representative	0.200
partake in	0.200
go places	0.200
people person	0.200
tank engine	0.200
christmas tree	0.200
make it	0.200
do to	0.200
decide on	0.200
memory lane	0.200
staff member	0.200
word up	0.200
selling point	0.200
carbon fiber	0.200
on call	0.200
more than	0.200
believe in	0.200
grace period	0.200
spark up	0.200
meet up	0.200
good evening	0.200
carbon emissions	0.200
land rover	0.200
sale price	0.200
academic freedom	0.200
wedding dress	0.200
head to	0.200
boiler room	0.200
trophy wife	0.200
marching orders	0.200
golf club	0.200
sales manager	0.200
fire away	0.200
hunger for	0.200
double bill	0.200
once more	0.200
maiden name	0.200
at most	0.200
pay rise	0.200
center stage	0.200
take stock	0.200
job security	0.200
religious belief	0.200
work with	0.200
show out	0.200
pure white	0.200
cross check	0.200
big talk	0.200
retail store	0.200
writing style	0.200
seeing as	0.200
high blood	0.200
patron saint	0.200
comparable to	0.200
parallel park	0.200
worth of	0.200
booked up	0.200
take pride	0.200
worked up	0.200
strong feelings	0.200
firing squad	0.200
in full	0.200
marine life	0.200
native language	0.200
luck in	0.200
social policy	0.200
gang bang	0.200
key factor	0.200
open invitation	0.200
student body	0.200
mailing list	0.200
in theory	0.200
response time	0.200
warp speed	0.200
service fee	0.200
race track	0.200
money maker	0.200
guiding light	0.200
send in	0.200
social engineering	0.200
opening line	0.200
with pleasure	0.200
climb up	0.200
way round	0.200
tennis player	0.200
legal counsel	0.200
beat up	0.200
data collection	0.200
stick together	0.200
come along	0.200
best regards	0.200
upper limit	0.200
high five	0.200
upper class	0.200
final exam	0.200
golden rule	0.200
know how	0.200
collard greens	0.200
play hardball	0.200
launch into	0.200
get moving	0.200
large groups	0.200
true meaning	0.196
picture frame	0.196
right wing	0.194
at home	0.194
jump on	0.194
variety show	0.194
ozone layer	0.194
space needle	0.194
police work	0.194
well being	0.194
population density	0.194
open source	0.194
great grandmother	0.194
motor vehicle	0.194
affiliate marketing	0.194
triple play	0.194
venture into	0.194
bases loaded	0.194
well over	0.194
went well	0.194
fantasy football	0.194
pineapple juice	0.194
too large	0.194
baked goods	0.194
video recording	0.194
big difference	0.194
jaw dropping	0.194
soldier on	0.194
test results	0.194
spoken for	0.194
perfect storm	0.194
on high	0.194
user interface	0.194
best bet	0.194
press for	0.194
green screen	0.194
french people	0.194
resonate with	0.194
ballot box	0.194
feel compelled	0.194
get ready	0.194
run at	0.194
teenage years	0.194
spare time	0.194
great care	0.194
bless you	0.194
moving in	0.194
win in	0.194
road game	0.194
pickup truck	0.194
starting price	0.194
vicious cycle	0.194
early childhood	0.194
to-do list	0.194
cheer up	0.194
work at	0.194
reading group	0.194
pay attention	0.194
force on	0.194
liberal democrat	0.192
tell all	0.192
through with	0.192
past summer	0.192
meat grinder	0.192
best interests	0.192
shipping company	0.192
combustion engine	0.192
daily double	0.192
multiple choice	0.192
fly high	0.192
pull into	0.192
risk assessment	0.192
stay well	0.192
monopoly money	0.192
car company	0.192
shopping center	0.192
equal to	0.190
price in	0.190
fair amount	0.190
treat with	0.190
flight crew	0.190
great grandfather	0.190
hard hat	0.190
hard core	0.190
power supply	0.188
security deposit	0.188
red army	0.188
right side	0.188
short selling	0.188
look around	0.188
so much	0.188
code switching	0.188
involved in	0.188
pregnancy test	0.188
real reason	0.188
full blown	0.188
gravitate towards	0.188
play music	0.188
great story	0.188
district attorney	0.188
fair game	0.188
christmas carol	0.188
thought process	0.188
bar exam	0.188
white house	0.186
double agent	0.186
sex appeal	0.186
class action	0.186
working group	0.186
bible belt	0.186
yacht club	0.186
grocery shop	0.186
wine merchant	0.186
bring together	0.186
plenty of	0.186
wide variety	0.186
beacon hill	0.186
caps lock	0.186
stick with	0.186
working out	0.186
track suit	0.186
public eye	0.186
mutual fund	0.186
quantum mechanics	0.186
defense mechanism	0.186
man alive	0.186
metric system	0.186
feast on	0.186
self-fulfilling prophecy	0.186
have on	0.186
running for	0.186
studio album	0.186
purchase price	0.186
come at	0.186
general hospital	0.186
running mate	0.186
savings account	0.186
make him	0.186
lecture hall	0.186
new media	0.186
fix up	0.186
light year	0.186
white lotus	0.186
pull away	0.184
mind boggling	0.184
good will	0.184
talk time	0.184
high schooler	0.184
bell bottoms	0.182
solid state	0.182
pay back	0.182
play in	0.182
conceive of	0.182
play into	0.180
birthday cake	0.180
road test	0.180
park bench	0.180
revel in	0.180
town hall	0.180
book fair	0.180
real time	0.178
capable of	0.178
double figures	0.178
whole idea	0.178
control panel	0.178
old country	0.178
bragging rights	0.178
huge part	0.178
care worker	0.178
work schedule	0.178
allow for	0.178
time line	0.178
fair market	0.178
second opinion	0.178
sure thing	0.178
starting pitcher	0.178
walk into	0.178
do well	0.178
double take	0.178
showing off	0.178
well liked	0.178
critical mass	0.178
solar power	0.178
tax bill	0.178
one helluva	0.178
art school	0.178
leather jacket	0.178
new man	0.178
glory in	0.178
social science	0.178
full house	0.178
good thing	0.178
nuclear war	0.178
forest green	0.178
lover boy	0.178
guest speaker	0.178
cautiously optimistic	0.178
hot chocolate	0.178
every inch	0.178
home base	0.178
going places	0.178
place order	0.178
swing by	0.178
main reason	0.178
sales person	0.178
gift wrapping	0.178
sixth sense	0.178
classic example	0.178
hockey league	0.178
linear algebra	0.178
smart phone	0.178
evil twin	0.178
olive garden	0.178
tennis match	0.178
full blast	0.178
delight in	0.178
due process	0.178
double standard	0.178
pay homage	0.178
agree to	0.178
get better	0.178
improve on	0.178
white knight	0.176
sky blue	0.176
new world	0.176
make love	0.176
straight off	0.176
all inclusive	0.176
invest in	0.176
gentle giant	0.176
gingerbread house	0.176
lasting impact	0.176
lead on	0.174
mutually exclusive	0.174
whole wheat	0.172
full swing	0.172
electric guitar	0.172
cell phone	0.172
customer base	0.172
get it	0.172
martial law	0.172
fill up	0.172
grind out	0.172
pretty boy	0.172
balance sheet	0.172
con artist	0.172
jingle bells	0.172
done up	0.172
work around	0.172
picket line	0.172
summer house	0.172
crank out	0.172
courtesy of	0.172
dental care	0.172
liquor store	0.172
breeding ground	0.172
play baseball	0.172
national park	0.172
your turn	0.172
air conditioned	0.172
present with	0.172
skate park	0.172
young boy	0.172
win out	0.172
dance around	0.172
in public	0.172
mind control	0.172
expand on	0.172
plastic surgery	0.172
in mind	0.172
free agent	0.172
wind power	0.172
run time	0.172
sentimental value	0.172
to heart	0.172
politically correct	0.172
double time	0.172
clean water	0.172
market place	0.172
public image	0.172
key point	0.172
strings attached	0.172
washed out	0.172
string together	0.172
human face	0.172
this minute	0.172
movie theater	0.172
fixing to	0.172
private parts	0.172
speak for	0.172
role playing	0.172
hardly ever	0.172
winning streak	0.172
rocking chair	0.172
planned parenthood	0.172
sticky fingers	0.172
sweet jesus	0.172
news item	0.172
mass extinction	0.172
invest with	0.172
smiley face	0.172
boy scouts	0.172
clock tower	0.172
day job	0.172
led by	0.172
rising prices	0.172
golden goose	0.172
room in	0.172
better half	0.172
tap into	0.172
people pleaser	0.172
moral obligation	0.172
long live	0.172
table tennis	0.172
power grid	0.172
task force	0.172
common sense	0.172
email address	0.172
good riddance	0.172
next up	0.172
given name	0.172
office staff	0.172
spare parts	0.172
art book	0.172
daily life	0.172
full year	0.172
in reality	0.172
smoking gun	0.172
guard against	0.172
magnum opus	0.170
cloud computing	0.166
see through	0.166
data entry	0.166
stock up	0.166
power house	0.166
follow on	0.166
recording studio	0.166
printing press	0.166
dance music	0.166
vast majority	0.166
weather station	0.166
liberal arts	0.166
flow in	0.166
recent memory	0.166
border patrol	0.166
litmus test	0.166
legal age	0.166
honey pot	0.166
third trimester	0.166
american dream	0.166
fill in	0.166
early on	0.166
popular music	0.166
inside information	0.166
drinking water	0.166
flight path	0.166
personal property	0.166
wake-up call	0.166
cool place	0.166
press coverage	0.166
top notch	0.166
cash flow	0.166
starter kit	0.166
high note	0.166
periodic table	0.166
stand behind	0.166
sonic boom	0.166
press release	0.166
fruit juice	0.166
local radio	0.166
sounds good	0.166
corpus christi	0.166
do research	0.166
as well	0.166
play list	0.166
by far	0.166
run deep	0.166
grow from	0.166
fair use	0.166
soul sister	0.166
all set	0.166
all nations	0.166
hard rock	0.166
take notice	0.166
national bank	0.166
water can	0.166
social events	0.166
fight over	0.166
summer vacation	0.166
time traveling	0.166
think of	0.166
open up	0.166
power broker	0.166
public company	0.166
eye level	0.166
in law	0.166
work out	0.166
bringing up	0.166
medical bill	0.166
drive on	0.166
united way	0.166
new girl	0.166
the lot	0.166
fiscal year	0.166
rings true	0.166
space ship	0.166
pass through	0.166
high road	0.166
service line	0.166
white tiger	0.166
book in	0.166
rest assured	0.166
lava lamp	0.166
art director	0.166
big thing	0.166
suit up	0.166
close attention	0.166
mother's day	0.166
holy water	0.166
news agency	0.166
safety car	0.166
rap sheet	0.166
new wave	0.164
cover letter	0.164
air guitar	0.164
action figure	0.163
prey on	0.162
double decker	0.162
for life	0.162
the middleman	0.162
dress shirt	0.162
gut feeling	0.162
but good	0.162
pleasantly surprised	0.162
all for	0.162
bright blue	0.162
life cycle	0.162
online dating	0.162
gay pride	0.162
delta wave	0.162
as possible	0.162
for all	0.162
mainland china	0.162
tall order	0.162
get rolling	0.162
face up	0.162
first period	0.162
big surprise	0.162
gender identity	0.162
raw talent	0.162
twin sister	0.162
background check	0.162
burn bridges	0.162
add in	0.162
collaborate with	0.162
third eye	0.162
get real	0.162
the most	0.162
race relations	0.162
home delivery	0.162
read you	0.162
frame in	0.162
gain control	0.162
raise to	0.162
married woman	0.162
glove box	0.162
front man	0.162
domain name	0.162
grim reaper	0.162
black cherry	0.162
family history	0.162
move forward	0.162
single digits	0.162
hard evidence	0.162
surround sound	0.162
sperm donor	0.162
fine arts	0.162
talent show	0.162
drenched in	0.162
free entry	0.162
secret code	0.162
housing stock	0.162
electric car	0.162
subconscious mind	0.162
wind chill	0.162
sound track	0.162
open enrollment	0.162
coffee maker	0.162
think back	0.162
catch phrase	0.162
usher in	0.162
grand theft auto	0.160
electric toothbrush	0.160
switch on	0.160
top that	0.160
easy going	0.160
many a	0.160
minor league	0.158
come naturally	0.158
wide range	0.156
major in	0.156
up to	0.156
eggs benedict	0.156
one time	0.156
four times	0.156
go toward	0.156
by choice	0.156
strike up	0.156
take place	0.156
steeped in	0.156
be here	0.156
sticking point	0.156
in contention	0.156
credit with	0.156
oxygen mask	0.156
gulf war	0.156
concrete jungle	0.156
in evidence	0.156
favor with	0.154
agreed upon	0.154
beef up	0.154
shake hands	0.154
within reach	0.154
new face	0.154
big blue	0.154
strictly speaking	0.154
far right	0.154
american indian	0.154
conjure up	0.154
source code	0.154
drag queen	0.154
home game	0.154
enough said	0.154
black panther	0.154
get dressed	0.154
coffee creamer	0.154
soccer game	0.154
have up	0.154
space program	0.154
top spot	0.154
big hair	0.152
watch over	0.152
prom dress	0.152
credit limit	0.152
go thru	0.152
cover story	0.152
quality assurance	0.150
miles away	0.150
agree with	0.148
sugar daddy	0.148
dive in	0.148
first base	0.148
sewing machine	0.148
tuition fees	0.148
look through	0.148
chip away	0.148
arrive at	0.148
film industry	0.148
moderate anticipation	0.148
on duty	0.148
save face	0.148
see red	0.148
right foot	0.148
case study	0.148
do better	0.148
one way	0.148
mind you	0.148
propose to	0.148
power struggle	0.148
may well	0.148
magnifying glass	0.148
come away	0.148
social security	0.148
third baseman	0.148
fly by	0.148
light years	0.148
push it	0.148
street smart	0.148
new born	0.148
picture show	0.148
point taken	0.148
play at	0.148
nail gun	0.148
play to	0.148
bb gun	0.148
young money	0.148
top man	0.148
depart from	0.148
test for	0.148
three hundred	0.148
propping up	0.148
boot camp	0.146
long way	0.146
accustomed to	0.146
running joke	0.146
cruise ship	0.143
hardware store	0.142
history lesson	0.142
city hall	0.142
pleased with	0.142
in memoriam	0.142
greener pastures	0.142
gas stove	0.142
rights issue	0.142
vote in	0.142
sure hope	0.142
well rounded	0.142
bounty hunter	0.142
certain of	0.142
interested in	0.142
tattoo artist	0.142
raw materials	0.142
midterm elections	0.142
terrorist organization	0.142
fit together	0.142
start out	0.142
green room	0.142
straight days	0.142
play with	0.142
fortune teller	0.142
whistle blower	0.142
hurricane season	0.142
get over	0.142
red pepper	0.142
rule on	0.142
rule over	0.142
work through	0.142
faculty member	0.142
make mine	0.142
swimming pool	0.142
balancing act	0.142
into detail	0.142
beat out	0.142
theme song	0.142
occam's razor	0.142
a sport	0.142
cross country	0.142
border on	0.142
live in	0.142
put to	0.142
happen in	0.142
stay alive	0.142
screen pass	0.142
simple majority	0.142
running back	0.142
red zone	0.142
dine in	0.142
air mattress	0.142
the whole	0.142
cool weather	0.142
palm tree	0.142
hands full	0.142
join in	0.142
aim for	0.142
destined for	0.142
rising sun	0.142
conveyor belt	0.142
stay in	0.142
in effect	0.140
professional football	0.140
school district	0.138
ever more	0.138
amped up	0.138
soft spoken	0.138
tow truck	0.138
heaven forbid	0.138
sports bar	0.138
well oiled	0.138
best boy	0.138
hold tight	0.138
pacific time	0.138
run to	0.138
dining room	0.138
free ticket	0.138
sign with	0.138
fast pace	0.138
over easy	0.138
come through	0.138
youth group	0.138
big brother	0.138
quebec city	0.138
call away	0.138
new england	0.138
drum up	0.138
price point	0.138
honor roll	0.138
spending money	0.138
have around	0.138
check off	0.138
mass transit	0.138
roller rink	0.138
building blocks	0.138
pickup line	0.138
punk rock	0.138
give advice	0.138
calling card	0.138
go up	0.138
price range	0.138
carry on	0.138
money laundering	0.138
white board	0.138
free throws	0.138
electric bill	0.138
bull market	0.138
border collie	0.138
internal affairs	0.138
book signing	0.138
treading water	0.138
car wash	0.138
hit on	0.138
water gun	0.138
and finally	0.138
voting age	0.138
fourth wall	0.138
support group	0.138
in stride	0.138
all aboard	0.138
bank card	0.138
stained glass	0.138
long sleeve	0.138
spending spree	0.138
equate to	0.138
wine glasses	0.138
bear market	0.138
east asia	0.138
digestive system	0.138
graham cracker	0.138
for real	0.138
leather pants	0.138
dressing room	0.138
google maps	0.138
entry level	0.138
in action	0.138
mountain dew	0.138
instant replay	0.138
golf course	0.138
stay tuned	0.138
fire sale	0.138
second life	0.138
the point	0.138
public relations	0.138
dive into	0.138
reading material	0.138
trust in	0.138
coal mine	0.138
body double	0.138
big rig	0.138
vice versa	0.138
loading dock	0.138
fresh water	0.138
settle it	0.138
walk on	0.138
associate with	0.136
quick look	0.136
serious money	0.136
build bridges	0.136
final whistle	0.136
real question	0.134
ride on	0.134
medium rare	0.134
polling station	0.134
carbon neutral	0.134
dressed up	0.134
sports writer	0.134
foot locker	0.134
steering wheel	0.134
grilled chicken	0.134
body part	0.134
on parade	0.134
very light	0.134
company name	0.134
shooting star	0.134
buy in	0.134
two weeks	0.134
broad brush	0.134
town center	0.134
car chase	0.134
main line	0.134
mardi gras	0.134
animal rights	0.134
primary residence	0.134
make amends	0.134
slightly positive	0.134
cargo ship	0.134
home depot	0.134
front line	0.134
winter sports	0.134
iced coffee	0.134
eastern time	0.134
top scorer	0.134
live around	0.134
parking spot	0.134
every one	0.134
message board	0.134
hold true	0.134
written word	0.134
resistant to	0.134
animal lover	0.134
aston martin	0.134
acoustic guitar	0.134
public works	0.134
twilight zone	0.134
wise man	0.134
love apple	0.134
big year	0.134
hold fast	0.134
six pack	0.134
promised land	0.134
market share	0.134
vitamin c	0.134
barn door	0.134
golf clubs	0.134
sign language	0.134
match fixing	0.134
boss about	0.134
read through	0.134
photo shoot	0.134
radio program	0.134
religious right	0.134
job interview	0.134
like flies	0.134
spitting image	0.134
a must	0.134
fly into	0.134
relative to	0.134
transfer fee	0.134
digital camera	0.134
well read	0.134
spread over	0.134
deep rooted	0.134
ad agency	0.134
flat iron	0.134
water supply	0.134
keep up	0.134
equal pay	0.134
bowling ball	0.134
net income	0.134
nazi party	0.134
taxi driver	0.134
golf game	0.132
tank up	0.132
culture shock	0.130
beyond words	0.130
good enough	0.130
round trip	0.130
result in	0.130
face shield	0.130
vanity fair	0.130
a plus	0.130
key word	0.130
cash in	0.130
ask in	0.130
spot on	0.130
animated series	0.130
big daddy	0.130
find yourself	0.130
level with	0.130
big question	0.130
whole meal	0.130
phone system	0.130
league season	0.130
every time	0.130
exclamation mark	0.130
stunt double	0.130
self defense	0.130
candy shop	0.130
function as	0.130
soccer team	0.130
final result	0.130
that much	0.130
make use	0.130
insurance agent	0.130
school lunch	0.130
drive around	0.130
black swan	0.130
family friend	0.130
outdoor game	0.130
small world	0.130
english teacher	0.130
flight attendant	0.130
hike up	0.130
quick glance	0.130
band together	0.130
wake up	0.130
opening night	0.130
feng shui	0.130
little brother	0.130
palm beach	0.130
contingent on	0.130
pick up	0.130
big up	0.130
drag racing	0.130
busy signal	0.130
well fed	0.130
license plate	0.130
retirement home	0.130
bowling alley	0.130
service center	0.130
ruling class	0.130
live for	0.130
market cap	0.130
carrier pigeon	0.130
code word	0.130
in advance	0.130
bring home	0.130
sales rep	0.130
owe to	0.130
face card	0.130
guessing game	0.130
pen pal	0.128
green energy	0.128
in essence	0.128
thankful for	0.128
tunnel vision	0.128
alarm clock	0.125
play games	0.124
addams family	0.124
live down	0.124
sex education	0.124
weight watchers	0.124
world war	0.124
space exploration	0.124
away game	0.124
close friend	0.124
get advice	0.124
count in	0.124
stay with	0.124
rising tide	0.124
a treat	0.124
life threatening	0.124
go first	0.124
break into	0.124
track down	0.124
scented candle	0.124
granny smith	0.124
baby powder	0.124
home team	0.124
in style	0.124
reverse engineering	0.124
public life	0.124
transit system	0.122
home plate	0.122
tribal chief	0.122
holy father	0.122
talk on	0.122
two fingers	0.120
power trip	0.120
wild man	0.120
shift work	0.120
long period	0.120
play fair	0.120
sound system	0.120
parmesan cheese	0.120
crystal ball	0.116
key role	0.116
flash drive	0.116
with young	0.116
smooth jazz	0.116
ripple effect	0.116
quarter pounder	0.116
vending machine	0.116
metal detector	0.116
common stock	0.116
social studies	0.116
air conditioner	0.116
day one	0.116
care about	0.116
compound interest	0.114
pretend to	0.114
well spent	0.114
slight surprise	0.114
game one	0.114
lawn mower	0.114
collective bargaining	0.114
walk away	0.114
feel good	0.114
high school	0.114
run through	0.114
jack in	0.112
intent on	0.112
fine example	0.112
in laws	0.112
relate to	0.112
travel time	0.112
stretch to	0.112
music group	0.112
high bar	0.112
store brand	0.112
honor system	0.112
vote on	0.112
suits you	0.112
do it	0.112
union jack	0.112
call for	0.112
music hall	0.112
in writing	0.112
all right	0.112
crude oil	0.112
write about	0.112
money tree	0.112
joint chiefs	0.112
rush in	0.112
birth name	0.112
fired up	0.112
engage with	0.112
happy ending	0.112
poke fun	0.112
filet mignon	0.112
chat room	0.112
according to	0.112
last mile	0.112
of choice	0.112
order in	0.112
the city	0.112
passing lane	0.112
hot hand	0.112
by ourselves	0.112
measure up	0.108
sparkling water	0.108
trust me	0.108
walk through	0.108
in relief	0.108
would appear	0.108
all eyes	0.108
surface area	0.108
bench press	0.108
subject line	0.108
logical fallacy	0.108
see beyond	0.108
funny man	0.108
smarten up	0.108
you betcha	0.108
balance sheets	0.108
cover in	0.108
tighten up	0.108
action movie	0.108
ice cream	0.108
pension plan	0.108
even number	0.108
real number	0.108
young buck	0.108
get ahead	0.108
art form	0.108
at will	0.108
face paint	0.108
my pleasure	0.108
looking glass	0.108
light speed	0.108
affirmative action	0.108
going to	0.108
done with	0.108
cherry pie	0.108
on sight	0.108
belt out	0.108
open bar	0.108
music genre	0.108
switched on	0.108
the man	0.108
ball player	0.108
get after	0.108
game theory	0.108
wing it	0.108
trade school	0.108
sunny side	0.108
exercise bike	0.108
til now	0.108
on special	0.108
point at	0.108
scale back	0.108
swim trunks	0.108
conversion rate	0.108
fried chicken	0.108
a ton	0.108
family member	0.108
sugar cookie	0.108
copyright infringement	0.108
well defined	0.106
bottled water	0.106
post it	0.106
life story	0.106
baseball bat	0.106
in terms	0.106
in love	0.106
yard line	0.106
high temperature	0.106
rent control	0.106
office work	0.104
screen name	0.104
fire extinguisher	0.104
like minded	0.104
child molester	0.104
head for	0.104
done in	0.104
different strokes	0.104
crash test	0.104
eat at	0.104
pepper spray	0.104
lots of	0.104
live with	0.104
restorative justice	0.104
conventional wisdom	0.104
retail therapy	0.104
get through	0.104
parallel parking	0.104
road runner	0.104
feel about	0.104
sales pitch	0.104
lunar eclipse	0.104
football season	0.104
bump up	0.104
have breakfast	0.104
work boots	0.104
clean room	0.104
tape over	0.104
game ball	0.104
trench coat	0.104
ad campaign	0.104
playoff game	0.104
meditate on	0.104
obsess over	0.104
coffee table	0.104
double header	0.104
watch for	0.104
pizza hut	0.104
turned on	0.104
jump at	0.104
smooth sailing	0.104
summer months	0.104
key fob	0.104
quick fix	0.104
safe harbor	0.104
consist of	0.104
turn up	0.104
house husband	0.104
social assistance	0.104
first dibs	0.104
get busy	0.104
match with	0.104
nervous system	0.104
grade school	0.104
two cents	0.104
load up	0.104
brief period	0.104
cool it	0.104
base line	0.104
on hand	0.104
public radio	0.104
poster child	0.104
night life	0.104
tax exempt	0.104
pack on	0.104
forest fire	0.104
hair stylist	0.104
fun run	0.104
parking space	0.104
silver medal	0.104
molecular biology	0.104
log in	0.104
bright spot	0.104
go round	0.104
warm welcome	0.104
get permission	0.104
wine tasting	0.104
bus driver	0.104
come on	0.104
pet shop	0.104
alpha male	0.104
crossing guard	0.104
ad infinitum	0.104
tap in	0.104
art teacher	0.104
iron fist	0.104
league match	0.104
sympathize with	0.104
twin brother	0.104
deep south	0.104
wise to	0.104
main thing	0.104
app store	0.102
eye surgery	0.102
black people	0.102
to hand	0.102
get started	0.100
soft drinks	0.100
fountain pen	0.100
asking price	0.100
just saying	0.100
man enough	0.100
taken with	0.100
fly at	0.100
mickey mouse	0.100
what's good	0.100
spot light	0.100
spell check	0.100
rain forest	0.100
major key	0.100
mirror image	0.100
on foot	0.100
price up	0.100
medical advice	0.100
like clockwork	0.100
ghost story	0.100
list price	0.100
so right	0.100
dental school	0.100
comic book	0.100
regardless of	0.100
along with	0.100
keep track	0.100
compare notes	0.100
push up	0.100
baked chicken	0.100
back story	0.100
name dropping	0.100
chicken soup	0.100
labor market	0.100
full sized	0.100
inner peace	0.100
make with	0.100
foreign aid	0.100
music video	0.100
blank canvas	0.100
hooked on	0.100
light up	0.100
utility bill	0.100
data point	0.100
running shoes	0.100
olive branch	0.100
rolling stone	0.100
hunting season	0.100
pyramid scheme	0.100
current events	0.100
big break	0.100
nose job	0.100
with me	0.100
fist fight	0.100
parking ticket	0.100
reset button	0.100
sign into	0.100
free ride	0.100
family emergency	0.100
party girl	0.100
run wild	0.100
civil suit	0.100
turn signal	0.100
it takes	0.100
roll out	0.100
halloween costume	0.100
close look	0.100
quick break	0.100
city councillor	0.100
night vision	0.100
free pass	0.100
and everything	0.100
garage sale	0.100
musical theater	0.100
northern hemisphere	0.100
age range	0.100
much as	0.100
warm fuzzies	0.100
bowling green	0.100
work nights	0.100
get yours	0.100
long term	0.100
lone wolf	0.100
incubation period	0.100
lock up	0.100
double date	0.100
underground railroad	0.100
do homework	0.100
fast food	0.100
long hours	0.100
all around	0.100
open for	0.100
pay for	0.100
affordable housing	0.100
public transit	0.100
land mass	0.100
personal day	0.100
interfere with	0.100
get above	0.100
civil servant	0.100
on vacation	0.100
log into	0.100
blue moon	0.100
tipping point	0.100
point spread	0.100
director's cut	0.100
graphics card	0.100
crack down	0.100
big bang	0.100
table top	0.100
bike lane	0.100
office building	0.100
grizzly bear	0.100
green card	0.100
well meaning	0.100
see life	0.100
pepperoni pizza	0.098
punch down	0.098
floor plan	0.098
ball game	0.098
sea lion	0.098
season premiere	0.098
first hand	0.096
emotional state	0.096
wisdom tooth	0.096
deep red	0.096
with wings	0.096
goon squad	0.096
fairy godmother	0.096
ball hockey	0.096
boxing ring	0.096
pay into	0.096
silicon valley	0.096
ethnic cleansing	0.096
resort to	0.096
train station	0.096
blue jays	0.096
at times	0.096
mobile number	0.096
act on	0.096
kindred spirit	0.096
drive up	0.096
proxy war	0.096
let up	0.096
write up	0.096
interest in	0.096
balanced budget	0.096
fix you	0.096
travel agent	0.096
take home	0.096
car door	0.096
open air	0.096
aurora borealis	0.096
silk road	0.096
map on	0.096
line up	0.096
debit card	0.096
snow storm	0.096
inner self	0.096
tea party	0.096
straight year	0.096
take in	0.096
well made	0.096
square root	0.096
go forth	0.096
bermuda triangle	0.096
hot coffee	0.096
dress code	0.096
stone age	0.096
hospital care	0.096
turn in	0.096
old money	0.096
hop on	0.096
make believe	0.096
second language	0.096
film adaptation	0.096
settle into	0.096
school night	0.096
in tandem	0.096
pension fund	0.096
sweet dreams	0.096
top hat	0.096
panel discussion	0.096
on top	0.096
pay day	0.096
palm sunday	0.096
title track	0.096
together with	0.096
fish bowl	0.094
atomic bomb	0.094
phone up	0.094
still room	0.094
disco ball	0.094
range in	0.094
pet food	0.094
rose bowl	0.094
unsung hero	0.094
chocolate cake	0.094
minority report	0.094
come true	0.094
size up	0.094
gut instinct	0.094
petri dish	0.094
join you	0.094
top gun	0.094
inner workings	0.094
grow into	0.094
some trust	0.094
wedding cake	0.094
rile up	0.094
first trimester	0.094
pay tribute	0.094
convenience store	0.094
bacon grease	0.094
tax bracket	0.094
look over	0.094
law abiding	0.094
clear message	0.094
bossa nova	0.094
shades of	0.090
top off	0.090
slippery slope	0.090
a couple	0.090
spend money	0.090
air pressure	0.090
sex offender	0.090
field hockey	0.089
cultural revolution	0.088
house music	0.088
my self	0.088
take medication	0.088
jump into	0.088
name change	0.088
family fun	0.088
take hold	0.088
first baseman	0.086
take notes	0.086
discourse on	0.086
amber alert	0.086
peer review	0.086
urban sprawl	0.086
club soda	0.084
jet set	0.084
built on	0.084
medical officer	0.084
breast feeding	0.084
wild animals	0.084
read in	0.080
court room	0.080
find work	0.080
daily bread	0.080
jack frost	0.080
white flag	0.080
new school	0.080
think through	0.080
head up	0.078
last word	0.078
kept up	0.076
marinara sauce	0.076
jack up	0.076
call up	0.076
road map	0.076
double up	0.076
ring tone	0.076
defense attorney	0.076
pet store	0.076
done good	0.076
complete with	0.076
stock exchange	0.076
brain trust	0.076
bank on	0.076
run up	0.076
in particular	0.076
heat pump	0.076
road trip	0.076
very loudly	0.076
think again	0.076
gag reflex	0.076
home schooling	0.076
whole time	0.076
by himself	0.076
girl scouts	0.076
queue up	0.076
fan club	0.074
fire station	0.074
figure skating	0.074
common courtesy	0.074
news report	0.074
ever since	0.074
bloody hell	0.074
mixed up	0.074
alma mater	0.074
turnaround time	0.074
act as	0.074
free expression	0.074
light blue	0.074
run rate	0.074
coffee bean	0.074
all caps	0.074
public opinion	0.074
clear view	0.074
hype up	0.074
neutral zone	0.074
every second	0.074
federal tax	0.074
tea tree	0.074
change course	0.074
written down	0.074
name tag	0.074
water boy	0.074
get serious	0.074
every week	0.074
orange county	0.074
think up	0.074
fight for	0.074
bon appetit	0.074
standard time	0.074
wind speed	0.074
opening up	0.074
look for	0.074
big shot	0.074
catch up	0.074
look on	0.074
genetically modified	0.074
all in	0.074
start over	0.072
come near	0.072
organic chemistry	0.072
camera lens	0.072
self explanatory	0.072
good luck	0.072
first family	0.072
group home	0.072
pass for	0.072
work load	0.072
junior high	0.072
laundry list	0.072
pencil in	0.072
your lip	0.072
driving test	0.072
easter eggs	0.072
up yours	0.072
see over	0.072
point break	0.072
yellow light	0.072
fair deal	0.072
bedside table	0.072
brute force	0.072
sharia law	0.072
carpe diem	0.072
over again	0.072
speed limit	0.072
early days	0.072
window seat	0.072
open letter	0.072
core group	0.072
on air	0.072
