term	valence	arousal	dominance
brackets	0.146	-0.438	-0.130
brackish	-0.062	-0.264	-0.158
brackishness	-0.667	-0.630	0.000
brad	-0.020	-0.230	-0.196
brady bunch	0.206	0.096	-0.250
brag	-0.306	0.090	0.156
braggart	-0.667	0.667	0.571
bragger	-0.667	0.667	0.750
bragging	-0.667	0.667	0.583
bragging rights	0.200	0.358	0.178
braid	-0.146	-0.556	-0.568
braider	0.571	0.667	0.185
brail	0.000	0.444	0.000
braille	0.333	-0.500	0.067
brain	0.334	-0.118	0.646
brain cell	-0.138	0.156	0.358
brain damage	-0.906	0.314	-0.584
brain dead	-0.866	-0.158	-1.000
brain drain	-0.346	0.036	-0.276
brain fart	-0.018	-0.096	-0.354
brain injury	-0.834	0.396	-0.484
brain surgery	-0.646	0.308	-0.226
brain teaser	-0.134	0.482	-0.154
brain trust	0.000	0.102	0.076
brain tumor	-0.580	0.124	-0.258
brainchild	0.704	0.083	0.704
brainer	0.500	-0.037	0.167
braininess	0.708	0.000	0.583
brainless	-0.724	-0.380	-0.552
brainlessly	-0.667	0.190	-0.875
brainlessness	-0.933	-0.958	-0.750
brainpower	0.958	0.208	0.963
brains	0.326	0.114	0.444
brainstem	0.000	-0.250	-0.185
brainstorm	0.588	0.568	0.272
brainteaser	0.533	0.667	0.542
brainwash	-0.604	0.294	-0.038
brainwashed	-0.833	0.667	-0.875
brainwasher	-0.917	0.600	1.000
brainwave	0.667	0.741	0.407
brainwork	0.667	0.667	0.714
brainworker	0.500	0.583	0.630
brainy	0.416	0.040	0.296
braise	0.481	0.667	0.185
braised	0.667	-0.667	0.000
brake	-0.376	-0.038	-0.380
brakeless	-0.667	0.704	-0.417
brakeman	0.000	0.667	-0.519
braless	0.000	0.000	-0.238
bramble	-0.667	0.667	-0.095
brambleberry	0.444	-0.333	0.000
bran	0.376	-0.134	-0.034
branch	0.076	-0.588	-0.500
branch out	0.000	0.068	-0.366
branching	0.040	-0.156	-0.056
branchless	-0.167	-1.000	-0.292
branchlike	0.000	-0.905	0.000
brand	0.124	-0.432	0.094
brand loyalty	0.420	-0.034	0.408
brand name	0.380	-0.118	0.324
brand new	0.710	0.156	0.540
branded	0.000	0.042	0.556
brandied	0.667	-0.167	0.000
brandish	-0.037	0.952	0.917
brandisher	-0.444	1.000	0.857
brands	0.048	0.000	0.667
brandy	0.200	0.180	-0.026
brash	-0.280	0.628	0.104
brashness	-0.542	0.630	0.667
brass	0.000	-0.360	-0.020
brass knuckle	-0.188	-0.102	0.036
brass knuckles	-0.462	0.242	0.034
brasserie	0.708	0.524	0.000
brassiere	0.020	-0.062	-0.328
brassiness	-0.619	0.000	0.000
brasslike	-0.095	-0.667	0.630
brassware	0.444	-0.556	0.190
brassy	-0.333	0.625	0.429
brat	-0.376	-0.120	-0.538
bratty	-0.667	0.667	-0.708
bratwurst	0.020	-0.020	-0.072
bravado	-0.042	0.020	0.054
brave	0.674	0.500	0.714
bravely	1.000	0.905	0.889
braveness	0.958	0.074	0.750
braver	0.926	0.625	0.667
bravery	0.796	0.490	0.736
bravest	1.000	0.667	1.000
brawl	-0.792	0.876	0.206
brawler	-0.667	0.958	0.762
brawn	-0.124	-0.196	0.088
brawniness	0.583	0.667	0.917
brawny	0.708	0.667	0.792
braze	0.556	0.708	0.519
brazen	-0.416	0.280	0.036
brazenfaced	-0.476	0.667	0.905
brazenly	-0.667	0.750	0.889
brazenness	-0.611	0.667	1.000
brazier	0.000	-0.583	0.042
brazilian	0.000	0.000	0.042
brazilian wax	0.034	0.148	0.000
brb	-0.142	-0.148	-0.258
breach	-0.646	0.490	-0.154
bread	0.320	-0.372	-0.316
bread crumbs	-0.104	-0.202	-0.022
bread pudding	0.186	-0.188	-0.134
breadbasket	0.556	-0.593	0.417
breadbin	0.000	-0.667	-0.333
breadboard	0.000	0.000	0.000
breadbox	0.000	-0.667	0.000
breadcrumb	0.333	-0.037	-0.167
breadfruit	0.619	0.000	0.000
breadless	-0.667	-0.286	-0.778
breadline	-0.667	-0.556	-0.917
breadstick	0.481	-0.630	-0.125
breadth	0.334	-0.020	0.288
breadwinner	0.667	0.667	1.000
breadwinning	0.625	-0.500	0.667
break	0.220	-0.470	-0.260
break away	-0.388	0.196	-0.242
break down	-0.534	0.136	-0.578
break even	-0.276	-0.196	-0.322
break for	-0.296	-0.036	-0.178
break free	0.068	-0.076	0.000
break from	-0.354	0.098	-0.166
break in	-0.482	0.348	-0.104
break into	-0.266	0.000	0.124
break loose	-0.468	0.190	0.036
break off	-0.786	0.042	-0.172
break out	-0.634	0.134	-0.226
break room	-0.186	-0.206	-0.034
break through	-0.032	0.134	-0.134
break time	0.040	-0.192	0.000
break up	-0.232	-0.138	-0.452
break with	-0.566	0.046	-0.296
breakable	-0.612	0.334	-0.184
breakage	-0.667	-0.190	-0.556
breakaway	-0.042	0.501	0.038
breakdance	0.630	1.000	0.593
breakdown	-0.270	-0.154	-0.278
breaker	-0.354	0.054	0.040
breakers	-0.062	0.176	-0.122
breakeven	0.000	0.074	0.000
breakfast	0.770	-0.340	-0.142
breakfast food	0.376	-0.116	0.032
breakfast time	0.518	-0.068	0.034
breaking and entering	-0.164	0.458	0.000
breaking news	-0.034	0.492	0.516
breaking point	-0.370	0.266	-0.206
breakingnews	0.000	0.104	0.214
breakneck	-0.492	0.666	0.208
breakout	-0.408	0.066	-0.310
breakpoint	0.000	0.556	0.476
breakthrough	0.360	0.050	0.436
breakup	-0.500	0.440	-0.286
breakwater	0.000	-0.619	0.708
breast	0.506	-0.142	0.000
breast cancer	-0.704	0.270	-0.408
breast feeding	0.200	0.016	0.084
breast milk	0.068	-0.084	-0.068
breastbone	0.000	-0.741	-0.185
breastfeed	0.833	0.667	-0.417
breastmilk	0.714	-0.833	-0.250
breastplate	0.083	-0.048	0.667
breaststroke	0.500	0.833	0.095
breath	0.368	-0.216	-0.098
breathable	0.875	-0.259	0.000
breathalyzer	-0.667	0.667	0.481
breathe	0.666	-0.254	0.036
breathe in	0.250	-0.170	0.034
breathe out	-0.108	0.064	-0.384
breather	0.248	-0.058	-0.224
breathiness	-0.238	0.444	-0.556
breathing in	0.326	-0.092	0.206
breathing room	0.300	-0.254	-0.162
breathless	-0.354	-0.020	-0.556
breathlessly	0.042	0.875	-0.667
breathlessness	-0.667	1.000	-0.583
breathtaking	0.872	0.584	0.842
breathy	-0.333	0.250	-0.333
bred	0.000	0.593	0.190
breech	0.000	0.274	-0.156
breeches	-0.270	-0.086	-0.334
breed	-0.020	-0.118	0.156
breeder	0.290	-0.038	0.210
breeding	0.334	-0.038	0.220
breeding ground	-0.344	0.362	0.172
breeze	0.674	-0.432	-0.260
breezeless	-0.333	-1.000	-0.267
breezeway	0.619	-0.292	0.000
breezily	0.667	0.667	0.074
breeziness	0.667	-0.292	-0.208
breezy	0.062	-0.056	-0.036
brethren	0.834	-0.240	0.282
breve	0.070	-0.270	-0.618
brevity	-0.082	-0.132	-0.250
brew	0.480	0.076	0.516
brewery	0.420	0.244	0.020
brewing	0.480	0.186	0.218
briar	-0.014	-0.250	-0.186
bribable	-0.667	0.611	-0.667
bribe	-0.776	0.380	-0.056
bribed	-0.704	0.593	-0.571
briber	-1.000	0.667	0.792
bribery	-0.730	0.550	0.170
brick	-0.566	-0.164	-0.264
brick in	-0.214	-0.262	-0.068
brick wall	-0.188	-0.098	0.060
bricklayer	0.083	0.611	0.583
bricklaying	0.278	0.667	0.667
bricklike	0.000	-1.000	0.333
brickwork	0.000	-0.708	0.333
brickyard	0.000	0.000	0.185
bridal	0.646	0.310	0.192
bridal shower	0.642	0.034	0.388
bride	0.680	0.416	0.158
bridegroom	0.618	0.472	0.054
bridesmaid	0.496	0.038	0.236
bridge	0.250	-0.352	0.038
bridgeable	0.542	-0.222	0.500
bridged	0.667	-0.042	0.370
bridgehead	0.000	0.667	0.708
bridgeless	-0.625	-0.667	-0.370
bridgework	0.625	0.000	0.500
bridle	-0.146	-0.266	-0.228
bridle path	-0.038	0.016	0.032
bridled	-0.533	0.630	-0.381
brief	-0.062	-0.400	-0.442
brief moment	0.258	-0.014	-0.166
brief period	0.206	-0.104	0.104
brief time	-0.262	-0.304	-0.142
briefcase	0.084	-0.463	-0.116
briefing	0.224	-0.334	0.404
briefly	0.372	-0.372	-0.340
briefness	0.292	-0.444	0.000
brig	0.146	0.078	0.000
brigade	0.208	0.420	0.656
brigadier	0.083	0.667	0.958
brigand	-0.667	0.714	0.963
bright	0.780	0.054	0.624
bright blue	0.186	-0.114	0.162
bright future	0.740	0.262	0.646
bright green	0.500	-0.050	-0.066
bright light	0.334	0.206	0.344
bright lights	0.388	0.322	0.334
bright orange	0.414	0.044	-0.034
bright red	0.166	-0.034	-0.134
bright side	0.442	0.000	0.334
bright spot	0.580	0.274	0.104
bright yellow	0.286	-0.184	0.038
brighten	0.520	0.094	0.298
brighten up	0.758	0.194	0.424
brightener	0.926	0.542	0.286
brightens	0.542	0.222	0.226
brighter	0.836	0.396	0.666
brightest	1.000	0.000	0.741
brightness	0.876	0.246	0.320
brill	1.000	0.000	0.000
brilliance	0.990	0.318	0.830
brilliancy	1.000	-1.000	0.944
brilliant	0.878	0.150	0.846
brilliantly	1.000	0.556	0.926
brim	-0.062	-0.334	-0.340
brimful	0.667	-0.630	-0.037
brimless	0.000	0.000	0.000
brimmed	0.333	0.111	0.000
brimmer	0.625	0.000	0.000
brimming	0.312	0.380	0.447
brimstone	-0.286	0.040	-0.120
brine	-0.334	-0.038	-0.278
bring	0.270	-0.080	-0.076
bring about	-0.034	-0.082	0.414
bring back	0.162	0.076	-0.038
bring down	-0.334	0.164	-0.066
bring forth	0.032	0.050	0.000
bring home	0.354	-0.046	0.130
bring in	0.214	0.078	-0.034
bring on	0.104	0.112	0.344
bring out	0.034	-0.150	0.000
bring over	0.066	-0.014	0.068
bring to	0.156	-0.016	-0.042
bring together	0.534	-0.032	0.186
bring up	0.194	-0.032	0.032
bringer	0.630	0.667	0.370
bringing up	0.266	0.234	0.166
brink	-0.250	-0.174	-0.288
briny	-0.037	-0.667	0.000
brioche	0.476	-1.000	0.000
briquette	0.000	-0.458	0.000
brisk	0.438	0.490	0.484
brisket	0.104	-0.244	-0.556
briskly	0.458	0.708	0.481
briskness	0.667	1.000	0.625
bristle	-0.250	-0.250	-0.348
bristled	-0.458	0.800	0.111
bristly	-0.500	0.583	0.625
britches	0.000	-0.333	-0.083
brits	0.000	0.519	0.417
brittle	-0.448	-0.020	-0.456
brittleness	-0.625	-0.889	-0.708
bro	0.588	-0.302	0.368
broach	-0.124	-0.122	0.350
broad	0.524	-0.270	0.274
broad brush	-0.334	0.030	0.134
broad daylight	0.242	0.248	0.206
broad street	-0.108	-0.124	-0.242
broadband	0.667	0.143	0.542
broadcast	0.230	0.174	-0.290
broadcaster	0.292	0.667	0.704
broadcasting	0.084	0.400	0.412
broadcloth	0.333	-0.852	-0.067
broaden	0.356	0.204	0.220
broadleaf	0.000	-1.000	0.000
broadly	0.095	-0.714	0.000
broadminded	1.000	-0.625	0.667
broadness	0.000	-0.667	0.167
broadsheet	0.000	-0.250	0.542
broadside	-0.082	-0.368	-0.076
broadsword	-0.062	0.146	0.230
broadtail	0.000	0.000	0.000
broadway	0.667	0.741	0.417
brocade	0.000	-0.346	-0.072
broccoli	-0.062	-0.600	-0.434
brochette	0.667	0.000	0.000
brochure	0.104	-0.548	-0.218
brogue	0.037	0.000	0.037
broil	0.020	-0.192	-0.340
broiler	0.083	0.667	0.296
broke	-0.510	0.180	-0.260
broke out	-0.654	0.164	-0.326
broken	-0.876	0.000	-0.414
broken dreams	-0.750	-0.096	-0.388
broken heart	-0.758	0.072	-0.666
broken in	-0.428	0.228	-0.276
broken record	-0.500	0.072	-0.536
broken up	-0.536	0.152	-0.380
brokenheart	-0.770	0.154	-0.314
brokenhearted	-0.740	0.196	-0.546
brokenheartedly	-0.963	-0.667	-0.704
brokenly	-0.611	-0.370	-0.667
brokenness	-0.667	-0.519	-0.875
broker	0.164	-0.076	0.200
brokerage	-0.042	0.000	0.000
bromide	-0.306	-0.150	-0.178
bromine	0.000	-0.500	0.000
bronchi	0.000	0.000	0.000
bronchia	-0.333	-0.889	-0.167
bronchial	0.000	0.042	-0.370
bronchially	-0.583	-0.333	-0.190
bronchiole	0.500	0.286	0.000
bronchitis	-0.722	-0.333	-0.524
bronchopneumonia	-1.000	-0.222	-0.852
bronchoscope	-0.296	0.619	0.519
bronco	0.000	0.020	-0.054
brontosaur	0.000	-0.792	0.083
brontosaurus	0.000	-0.583	0.792
bronze	0.244	-0.334	0.052
bronze age	0.034	-0.016	0.066
bronze medal	0.112	0.014	-0.098
bronzed	0.389	-0.667	0.429
bronzer	0.667	-0.042	0.000
brooch	0.062	-0.480	-0.240
brood	0.266	0.038	-0.132
brooder	-0.333	-0.625	-0.333
broodiness	-0.429	-0.524	-0.556
brooding	-0.346	-0.266	-0.334
broody	-0.333	-0.556	-0.458
brook	0.188	-0.306	-0.176
broom	-0.230	-0.692	-0.396
broomstick	-0.180	-0.470	-0.546
broth	0.000	-0.510	-0.664
brothel	-0.726	0.720	-0.285
brother	0.646	-0.278	0.092
brotherhood	0.990	-0.055	0.360
brotherliness	1.000	-0.667	0.286
brotherly	0.730	-0.388	0.192
brotherly love	0.734	0.124	0.042
brought	0.104	-0.016	-0.172
brouhaha	-0.667	1.000	0.259
brow	0.124	-0.378	-0.038
browbeat	-0.833	1.000	0.958
browbeater	-0.958	0.917	0.963
brown	-0.208	-0.596	-0.414
brown paper	0.000	-0.174	-0.138
brown rice	-0.134	-0.372	0.000
brown sugar	0.266	-0.292	-0.096
browner	0.000	-0.667	0.000
brownie points	0.234	-0.084	0.064
brownies	1.000	-0.667	-0.042
brownish	-0.042	-0.619	0.000
brownness	0.000	-1.000	0.037
brownnose	-0.714	0.619	-0.667
brownnoser	-1.000	0.667	-0.667
brownout	-0.667	0.556	-0.619
brownstone	0.118	-0.154	-0.122
browse	0.270	0.500	0.184
browser	0.206	0.116	0.194
browsing	0.333	0.333	0.000
brrr	-0.254	0.080	-0.436
bruh	-0.392	-0.030	-0.358
bruise	-0.734	0.280	-0.052
bruised	-0.667	-0.333	-0.667
bruiser	-0.571	0.667	0.815
bruising	-0.832	0.040	-0.156
brunch	-0.188	-0.274	-0.314
brunette	0.604	0.056	0.058
brunt	-0.592	0.500	-0.302
brush	-0.020	-0.470	-0.628
brush off	-0.414	-0.164	-0.434
brush up	-0.384	-0.102	-0.142
brusher	0.000	0.611	0.148
brushfire	-0.667	1.000	0.583
brushless	0.593	-0.667	0.407
brushstroke	0.333	0.417	0.250
brushwood	0.000	-0.625	-0.286
brushwork	0.667	0.556	0.148
brushy	0.000	0.000	-0.208
brusque	-0.667	0.630	0.542
brusquely	-0.524	0.667	0.481
brusqueness	-0.611	0.667	0.625
brussels	0.000	0.000	0.333
brut	-0.167	0.625	0.762
brutal	-0.592	0.764	0.286
brutalism	-0.533	0.667	0.667
brutality	-0.756	0.664	0.142
brutalization	-1.000	0.750	0.148
brutalize	-1.000	1.000	0.889
brutally	-1.000	0.958	0.963
brute	-0.770	0.094	-0.242
brute force	-0.444	0.436	0.072
brutish	-0.460	0.674	0.176
brutishly	-0.833	0.958	0.833
brutishness	-0.963	0.704	0.852
btw	-0.388	-0.242	-0.170
bubble	0.548	-0.574	-0.272
bubble bath	0.566	-0.140	-0.062
bubble gum	0.000	-0.032	-0.182
bubble tea	0.034	-0.098	0.060
bubble with	0.166	0.092	-0.130
bubble wrap	0.032	-0.164	-0.166
bubblegum	0.667	0.333	-0.259
bubbler	0.542	0.667	0.000
bubbling	0.000	-0.124	-0.232
bubbly	0.396	0.216	-0.076
bubonic	-0.440	0.060	-0.212
bubonic plague	-0.462	0.296	-0.376
buccaneer	-0.667	1.000	0.857
buck	0.354	0.154	0.440
buck up	0.134	0.126	-0.226
buckaroo	-0.104	-0.062	-0.042
bucket	-0.184	-0.666	-0.328
bucket list	0.392	0.124	-0.112
bucketful	0.250	0.000	0.000
buckeye	0.000	0.000	0.000
buckhorn	0.000	0.000	0.000
buckish	0.593	0.625	0.458
buckle	-0.168	-0.254	-0.278
buckle down	-0.310	0.016	-0.036
buckle up	-0.062	0.080	-0.210
buckled	-0.146	-0.284	-0.122
buckler	0.000	0.583	0.625
bucko	-0.122	-0.090	-0.070
bucksaw	-0.167	0.667	0.286
buckshot	-0.490	0.480	-0.356
buckskin	0.278	-0.667	0.000
buckskinned	0.095	-0.083	0.000
bucktooth	-0.533	0.000	-0.375
buckwheat	-0.020	-0.058	-0.132
bud	-0.080	-0.196	-0.334
buddha	0.380	-0.604	0.208
buddhism	0.020	-0.770	0.346
buddies	0.667	0.375	0.417
budding	-0.020	0.000	-0.290
buddy	0.768	0.170	0.310
budge	0.438	0.510	0.086
budget	0.286	-0.208	0.462
budget for	0.066	0.000	-0.054
budgetary	-0.056	-0.667	0.556
budgeter	0.125	0.542	0.583
budgie	0.333	0.667	-0.333
budlike	0.667	-0.583	-0.417
buff	0.122	-0.150	-0.278
buffalo	-0.062	0.056	0.054
buffer	0.040	-0.052	-0.300
buffering	-0.042	-0.064	-0.238
buffet	0.312	0.092	0.038
buffoon	-0.312	0.302	-0.420
buffoonery	-0.667	0.704	-0.667
buffoonish	-0.714	0.667	-0.875
bug	-0.428	0.000	-0.508
bug out	-0.758	0.184	-0.296
bug spray	-0.334	0.000	-0.130
bugaboo	-0.122	-0.018	-0.118
bugged	0.122	-0.122	0.000
bugger	-0.376	0.254	-0.052
buggery	-1.000	0.667	-0.704
bugging	-0.667	1.000	-0.407
buggy	0.000	0.018	-0.346
bugle	-0.042	0.176	-0.218
bugled	0.042	0.708	0.500
bugler	0.084	0.080	-0.214
buick	0.000	-0.095	0.571
build	0.542	0.092	0.612
build around	0.192	0.000	0.242
build bridges	0.516	0.204	0.136
build in	0.104	0.140	0.068
build on	0.464	0.080	0.552
build up	0.226	0.334	0.290
build upon	0.242	-0.124	0.034
buildable	0.667	-0.222	0.389
builder	0.320	0.284	0.402
building	0.410	-0.424	0.346
building block	0.156	-0.250	0.344
building blocks	0.138	0.200	0.138
building code	0.134	-0.058	0.344
buildings	0.164	-0.240	0.104
buildup	-0.020	0.018	0.246
built	0.166	-0.110	0.000
built on	0.066	-0.032	0.084
bulb	0.124	-0.584	-0.400
bulbous	-0.220	-0.116	-0.140
bulge	-0.480	-0.026	-0.200
bulginess	-0.381	0.000	-0.111
bulgy	-0.370	-0.125	-0.111
bulimia	-1.000	0.667	-0.741
bulimic	-0.816	0.140	-0.254
bulk	-0.062	-0.174	0.018
bulk up	-0.148	0.150	0.038
bulkhead	-0.376	-0.150	-0.196
bulkily	-0.333	-0.667	-0.167
bulkiness	-0.333	-0.667	-0.074
bulky	-0.146	0.182	0.500
bull	0.042	0.280	0.288
bull market	0.214	0.262	0.138
bull run	0.032	0.138	0.226
bulldog	-0.012	0.300	0.060
bulldogged	0.667	1.000	0.958
bulldoze	-0.667	0.833	0.963
bulldozer	-0.082	0.098	0.286
bullet	-0.184	0.588	0.268
bullet point	-0.156	0.090	0.040
bulletin	0.146	-0.412	-0.278
bulletin board	0.090	0.064	0.276
bulletproof	0.500	0.442	0.558
bulletproof vest	-0.134	0.276	0.296
bullfight	-0.593	1.000	0.833
bullfighter	-0.104	0.588	0.328
bullfinch	0.296	-0.556	0.000
bullfrog	-0.312	-0.038	-0.156
bullhead	-0.619	0.619	0.833
bullheaded	-0.542	0.480	0.032
bullheadedness	-0.667	0.667	-0.148
bullhorn	0.020	0.306	0.472
bullied	-0.952	0.667	-0.792
bullies	-0.917	0.708	0.926
bullion	0.386	0.116	0.458
bullish	0.392	0.112	0.000
bullishly	0.833	0.833	0.952
bullishness	0.542	0.667	0.917
bullmastiff	0.000	0.630	0.889
bullock	-0.438	-0.196	-0.250
bullpen	-0.040	0.098	0.000
bullring	-0.083	0.667	0.625
bullseye	0.750	0.083	0.583
bullshit	-0.916	0.352	-0.634
bullshitting	-0.667	0.667	0.571
bullwhip	0.000	0.667	1.000
bully	-0.486	0.510	0.128
bulwark	0.102	0.104	0.350
bum	-0.438	-0.098	-0.690
bumble	-0.444	0.667	-1.000
bumblebee	-0.062	-0.014	-0.358
bumbler	-0.667	0.524	-0.667
bummed	-0.408	-0.140	-0.485
bummed out	-0.364	-0.114	-0.300
bummer	-0.674	0.000	-0.466
bumming	-0.667	0.370	-0.583
bump	-0.428	-0.084	-0.264
bump into	-0.400	0.286	-0.214
bump up	0.258	0.210	0.104
bumper	-0.230	0.146	0.036
bumper cars	0.074	0.362	0.000
bumper sticker	-0.134	0.150	0.064
bumpily	-0.400	0.833	-0.542
bumpiness	-0.583	-0.519	-0.429
bumpkin	-0.667	-0.250	-0.852
bumpy	-0.388	0.366	-0.162
bun	-0.152	-0.388	-0.464
bunch	0.104	-0.284	-0.054
bunchy	0.037	-0.542	-0.222
bundle	0.020	-0.314	-0.132
bundle up	-0.130	-0.174	0.250
bundler	0.000	0.667	0.375
bung	-0.238	0.500	-0.259
bungalow	0.124	-0.296	-0.188
bungee	0.274	0.090	-0.346
bunghole	-0.428	-0.148	-0.208
bungle	-0.667	0.667	-0.630
bungler	-0.905	0.583	-0.875
bunion	-0.448	-0.320	-0.420
bunk	-0.124	-0.336	-0.322
bunk bed	-0.074	-0.182	-0.034
bunkbed	0.238	-0.667	-0.190
bunker	-0.250	0.346	0.546
bunkhouse	-0.060	-0.172	-0.186
bunkmate	0.095	0.000	-0.185
bunnies	0.667	0.667	-0.667
bunny	0.480	-0.350	-0.612
bunny girl	0.104	0.130	-0.276
bunt	-0.166	-0.156	-0.302
buoy	0.124	-0.440	-0.432
buoyancy	0.250	-0.254	0.076
buoyant	0.250	-0.118	-0.006
buoyantly	0.917	0.667	0.500
bur	-0.230	-0.294	-0.372
burbank	0.000	-0.250	0.000
burden	-0.266	0.166	0.394
burdened	-0.142	0.038	0.130
burdensome	-0.542	0.392	-0.162
bureau	0.124	-0.254	0.236
bureaucracy	-0.240	0.156	0.480
bureaucrat	-0.584	0.038	0.196
bureaucratic	-0.440	0.260	0.146
bureaucratically	-0.667	-0.417	0.333
bureaucratization	-0.667	-0.667	0.593
bureaucratize	-0.667	-0.667	0.667
burgeon	0.792	0.667	0.500
burger	0.376	0.136	-0.204
burger king	0.400	-0.046	0.222
burglar	-0.900	0.538	-0.192
burglarize	-1.000	0.667	0.667
burglarproof	0.667	-0.667	0.857
burglary	-0.854	0.836	0.086
burgle	-1.000	0.963	0.417
burial	-0.594	0.154	-0.334
buried	-0.734	0.060	-0.260
burka	0.000	-0.542	-0.519
burke	-0.068	-0.118	-0.098
burlap	-0.142	-0.076	-0.178
burlesque	-0.346	0.230	-0.314
burliness	0.667	-0.667	0.500
burly	0.124	0.300	0.500
burn	-0.562	0.566	0.018
burn bridges	-0.250	0.050	0.162
burn down	-0.690	0.174	-0.376
burn in	-0.434	0.226	-0.032
burn off	-0.600	0.110	-0.194
burn out	-0.646	0.100	-0.130
burn through	-0.400	0.306	-0.194
burn up	-0.250	0.132	-0.300
burnable	0.000	0.048	-0.037
burned	-0.674	0.206	-0.306
burned out	-0.734	0.250	-0.500
burner	-0.408	0.632	-0.108
burning	-0.542	0.520	-0.176
burnish	0.667	0.407	0.429
burnished	0.040	0.160	-0.072
burnout	-0.562	-0.110	-0.520
burnt	-0.836	0.426	-0.288
burnt out	-0.656	-0.158	-0.642
burp	-0.562	0.188	-0.136
burr	-0.220	-0.148	-0.384
burrito	0.376	-0.412	-0.668
burro	-0.200	-0.288	-0.364
burrow	-0.124	-0.440	-0.290
burrower	0.000	0.667	-0.375
bursary	0.458	-0.076	0.142
burst	-0.688	0.788	0.690
burst in	-0.346	0.106	-0.064
burst into	-0.392	0.226	-0.142
burst out	-0.206	0.380	-0.290
bury	-0.846	0.142	-0.308
bus	-0.186	-0.178	-0.200
bus driver	0.296	0.174	0.104
bus lane	0.000	0.016	-0.104
bus pass	0.104	-0.140	-0.172
bus route	0.000	-0.130	0.242
bus service	-0.034	0.174	0.034
bus station	0.100	-0.192	0.206
bus stop	-0.134	-0.160	-0.286
bus terminal	0.068	-0.122	-0.334
busboy	0.020	-0.094	-0.118
bush	-0.174	-0.560	-0.370
bush league	-0.138	0.162	-0.228
bushel	-0.166	-0.226	-0.264
bushfire	-0.958	1.000	0.963
bushiness	0.000	-0.593	0.000
bushman	0.000	0.083	-0.208
bushmaster	-0.407	0.917	0.875
bushwhack	-0.625	0.952	0.593
bushwhacker	-0.542	0.630	0.667
bushy	0.124	-0.358	-0.146
busied	0.000	0.933	-0.190
busily	0.278	0.958	0.458
business	0.376	0.138	0.510
business analyst	-0.020	0.274	0.406
business card	0.434	-0.122	0.408
business casual	0.226	-0.030	0.300
business center	0.566	0.166	0.366
business class	0.344	-0.100	0.466
business day	0.500	0.254	0.414
business expense	-0.270	0.200	0.308
business hours	0.376	0.000	0.266
business man	0.222	0.250	0.691
business partner	0.566	0.268	0.742
business people	0.206	0.210	0.518
business plan	0.358	0.270	0.242
business school	0.038	-0.084	0.400
businesslike	0.571	0.667	0.667
businessman	0.306	0.020	0.604
businessmen	0.381	0.667	0.704
businesspeople	0.630	0.667	0.762
businessperson	0.556	0.750	0.708
businesswoman	0.438	0.000	0.528
busload	0.122	-0.038	-0.016
busman	0.000	0.667	0.000
buss	-0.062	0.000	-0.218
bust	0.040	0.000	-0.160
bust out	-0.516	0.132	-0.130
busted	-0.592	0.352	-0.310
buster	-0.062	-0.018	-0.034
bustle	-0.306	0.628	-0.110
bustled	0.333	0.667	0.381
bustling	-0.020	0.700	0.056
busty	0.500	0.000	0.167
busy	-0.196	0.000	-0.052
busy signal	-0.182	0.156	0.130
busy work	-0.094	0.304	-0.226
busybody	-0.490	0.268	-0.056
busywork	-0.630	0.667	-0.667
but	0.000	0.000	0.000
but for	-0.244	-0.148	-0.074
but good	0.334	-0.102	0.162
but then	-0.100	-0.044	-0.162
butane	-0.116	-0.034	-0.240
butcher	0.000	0.150	0.216
butchery	-1.000	0.667	0.593
butler	0.079	-0.530	-0.124
butlery	0.042	-0.667	-0.375
butt	-0.306	0.450	-0.328
butt in	-0.322	-0.050	-0.134
butt naked	-0.358	0.316	-0.552
butt on	-0.354	-0.074	-0.300
butt out	-0.206	-0.062	-0.428
butte	0.000	-0.667	0.042
butter	0.300	-0.416	-0.596
butter knife	-0.226	0.066	0.000
butter tart	0.300	-0.196	-0.142
butterball	0.167	-0.778	-0.208
butterbean	0.370	-0.667	-0.048
buttercream	0.667	-1.000	0.000
buttercup	0.124	-0.036	-0.156
butterfat	0.583	-0.667	-0.133
butterfingered	-0.667	-0.444	-0.667
butterfingers	-0.667	0.571	-0.857
butterflies	0.667	0.667	-0.542
butterfly	0.784	-0.346	-0.372
butterfly effect	0.448	-0.062	0.276
buttermilk	0.266	-0.378	-0.392
butternut	0.286	-1.000	0.037
butternut squash	0.000	-0.228	-0.214
butterscotch	0.416	0.020	-0.288
buttery	0.250	-0.364	-0.394
butthead	-1.000	0.593	-0.625
butthole	-1.000	0.556	-0.625
buttock	-0.142	0.200	-0.424
buttocks	-0.084	0.354	-0.270
button	0.040	-0.560	-0.314
button up	0.000	-0.130	-0.130
buttoner	0.000	0.593	0.250
buttonhole	0.000	-0.074	-0.389
buttonholer	-0.583	0.619	0.593
buttonhook	0.000	0.000	0.074
buttress	-0.124	0.368	0.442
buxom	0.124	0.438	0.094
buxomness	0.333	-0.375	-0.167
buy	0.542	0.538	0.224
buy at	-0.104	0.060	0.032
buy back	-0.200	0.014	-0.104
buy food	0.032	-0.250	-0.134
buy from	0.066	-0.142	-0.148
buy in	0.000	0.016	0.134
buy into	-0.196	-0.122	0.218
buy it	0.428	0.058	-0.072
buy off	-0.250	-0.258	-0.194
